course_title,institution,link,course_type,course_duration,competency_1,proficiency_levels_1,competency_2,proficiency_levels_2,competency_3,proficiency_levels_3,competency_4,proficiency_levels_4,competency_5,proficiency_levels_5,competency_6,proficiency_levels_6,competency_7,proficiency_levels_7,competency_8,proficiency_levels_8,competency_9,proficiency_levels_9,competency_10,proficiency_levels_10,competency_11,proficiency_levels_11,competency_12,proficiency_levels_12,competency_13,proficiency_levels_13,competency_14,proficiency_levels_14,competency_15,proficiency_levels_15,competency_16,proficiency_levels_16,competency_17,proficiency_levels_17,competency_18,proficiency_levels_18,competency_19,proficiency_levels_19,competency_20,proficiency_levels_20,competency_21,proficiency_levels_21,competency_22,proficiency_levels_22,competency_23,proficiency_levels_23,competency_24,proficiency_levels_24,competency_25,proficiency_levels_25,competency_26,proficiency_levels_26,competency_27,proficiency_levels_27,competency_28,proficiency_levels_28,competency_29,proficiency_levels_29,competency_30,proficiency_levels_30,competency_31,proficiency_levels_31,competency_32,proficiency_levels_32,competency_33,proficiency_levels_33,competency_34,proficiency_levels_34,competency_35,proficiency_levels_35,competency_36,proficiency_levels_36,competency_37,proficiency_levels_37,competency_38,proficiency_levels_38,competency_39,proficiency_levels_39,competency_40,proficiency_levels_40,competency_41,proficiency_levels_41,competency_42,proficiency_levels_42,competency_43,proficiency_levels_43,competency_44,proficiency_levels_44,competency_45,proficiency_levels_45,competency_46,proficiency_levels_46,competency_47,proficiency_levels_47,competency_48,proficiency_levels_48,competency_49,proficiency_levels_49,competency_50,proficiency_levels_50
Counterintelligence for Information Security and Protection (AUDT7200),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT7200,,,"Data Analytics, Management, and Visualization","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Analytic Tools for Financial Management (FINC8900),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC8900,,,"Data Analytics, Management, and Visualization","2,3",Financial Management Analysis,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Analytics for Fraud Detection (AUDT8915),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8915,,,"Data Analytics, Management, and Visualization","2,3",Decision Support,"2,3",Decision Support - Audit Execution,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Analytics Tools and Techniques (AUDT8913),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8913,,,"Data Analytics, Management, and Visualization","2,3",Financial Management Analysis,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection Methods (PGMT8011),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PGMT8011,,,"Data Analytics, Management, and Visualization",2,Financial Management Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Budget Analysis Using Microsoft Excel (BUDG8150),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/BUDG8150,,,"Data Analytics, Management, and Visualization","2,3",Financial Management Analysis,3,Oral Communications,"2,3",Written Communications,"2,3",Fundamentals and Operations of Budget,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHL 0230 Machine Learning,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=1738749&courseTitle=machine-learning,,,"Data Analytics, Management, and Visualization","2,3",Technology Proficiency,"3,4",Decision Support,"3,4,5",Robotic Process Automation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0361 Accounting Analytics,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2408917,,,"Data Analytics, Management, and Visualization",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0361 Accounting Analytics,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2408920,,,"Data Analytics, Management, and Visualization","2,4",Robotic Process Automation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0503 Data Analytics Strategic Leadership,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409106,,,"Data Analytics, Management, and Visualization","2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army Managers Internal Control Administrators Course (AUDT9015),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT9015,,,Decision Support,"1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Auditing (AUDT8801),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8801,,,Decision Support,"1,2,3",Contract Management,"1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection and Prevention of Fraud (AUDT8004),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8004,,,Decision Support,"1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Appropriations Law for Auditors (AUDT7010),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT7010,,,Decision Support,"1,2,3",Risk Management,"1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management Bootcamp for Federal Auditors (AUDT7020),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT7020,,,Decision Support,"1,2,3","Financial Concepts, Policies and Principles","1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology for Auditors (AUDT8024),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8024,,,Decision Support,"1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Government Audit: From Planning to Reporting (AUDT8032),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8032,,,Decision Support,"1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0312 Developing Decision Making I,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409493,,,Decision Support,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accountability Channel,Skillsoft,https://www.skillsoft.com/channel/accountability-98459290-f913-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Channel,Skillsoft,https://www.skillsoft.com/channel/accounting-f1554bc0-e714-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adapting to Change Channel,Skillsoft,https://www.skillsoft.com/channel/adapting-to-change-06720340-e71a-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative Skills Channel,Skillsoft,https://www.skillsoft.com/channel/administrative-skills-34e4e1c0-e71a-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Methodologies Channel,Skillsoft,https://www.skillsoft.com/channel/agile-methodologies-88a3b850-dc1e-11e7-9fe8-1b7f5fcc733d?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Mindset & Culture Channel,Skillsoft,https://www.skillsoft.com/channel/agile-mindset-culture-9126acd0-dc1e-11e7-9fe8-1b7f5fcc733d?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Project Management Channel,Skillsoft,https://www.skillsoft.com/channel/agile-project-management-e4be53b0-f9ee-11e6-9896-0776e4b35762?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecting Data Channel,Skillsoft,https://www.skillsoft.com/channel/architecting-data-a11e7df4-c323-44c4-8688-22e09ba61511?technologyandversion=20619?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditing Channel,Skillsoft,https://www.skillsoft.com/channel/auditing-3e0535b0-2118-11e7-a974-1962c7e6a20b?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Practices in Project Management Channel,Skillsoft,https://www.skillsoft.com/channel/best-practices-in-project-management-4c6d05e0-e71d-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budgeting Channel,Skillsoft,https://www.skillsoft.com/channel/budgeting-9a5b47a0-f91d-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Grammar Channel,Skillsoft,https://www.skillsoft.com/channel/business-grammar-78e83dc0-f91e-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Process Channel,Skillsoft,https://www.skillsoft.com/channel/business-processes-941c72b0-211d-11e7-ac46-dd5c3d0e46dd?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPM Channel,Skillsoft,https://www.skillsoft.com/channel/capmr-df0c9361-2c3d-11e7-83d1-dba0327abefc?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coaching Channel,Skillsoft,https://www.skillsoft.com/channel/coaching-bade3cd0-1ba5-11e7-9b97-0566427ce3fc?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Essentials Channel,Skillsoft,https://www.skillsoft.com/channel/communication-essentials-62dc4420-e719-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation & Benefits Channel,Skillsoft,https://www.skillsoft.com/channel/compensation-benefits-cbcbb200-211a-11e7-a974-1962c7e6a20b?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computational Thinking Channel,Skillsoft,https://www.skillsoft.com/channel/computational-thinking-b1700e50-dc1e-11e7-9fe8-1b7f5fcc733d?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continuous Learning Channel,Skillsoft,https://www.skillsoft.com/channel/continuous-learning-0f18a870-881a-4bd1-a4e3-0cfcdcc63c9f?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Thinking & Brainstorming Channel,Skillsoft,https://www.skillsoft.com/channel/creative-thinking-brainstorming-0026f2f0-f919-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Thinking Channel,Skillsoft,https://www.skillsoft.com/channel/critical-thinking-f220ddf0-2150-11e7-a947-2bfd699dcbff?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-Functional Collaboration Channel,Skillsoft,https://www.skillsoft.com/channel/data-driven-decision-making-7fcedc35-83fb-45e4-bd6d-f9b51b7f918f?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Relationships Channel,Skillsoft,https://www.skillsoft.com/channel/customer-relationships-218d2760-f91f-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Service Operations Channel,Skillsoft,https://www.skillsoft.com/channel/customer-service-operations-44ed3ec0-f91f-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data & Analytics Literacy Channel,Skillsoft,https://www.skillsoft.com/channel/data-and-analytics-literacy-a25b43bb-2b08-410f-9ab1-c16ce6aea4ef?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Literacy for All Bootcamp Channel,Skillsoft,https://www.skillsoft.com/channel/data-literacy-for-all-bootcamp-550d385a-88d3-4085-b3ba-9bcfcf65b341?bootcamp-run=16889396?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science for Managers Bootcamp Channel,Skillsoft,https://www.skillsoft.com/channel/data-science-for-managers-bootcamp-d2a136e5-552d-4010-81cb-d77b1d598922?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Visualization Core Concepts Channel,Skillsoft,https://www.skillsoft.com/channel/data-visualization-core-concepts-ef67beb1-10b8-11e7-be8a-afccb86e7a23?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data-Driven Decision Making Channel,Skillsoft,https://www.skillsoft.com/channel/data-driven-decision-making-7fcedc35-83fb-45e4-bd6d-f9b51b7f918f?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dealing with Conflict Channel,Skillsoft,https://www.skillsoft.com/channel/dealing-with-conflict-90eb09a0-e719-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Making Channel,Skillsoft,https://www.skillsoft.com/channel/decision-making-4c8e4c00-2061-11e7-a06b-196ddb80a7e9?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEI In The Workplace Channel,Skillsoft,https://www.skillsoft.com/channel/dei-in-the-workplace-7f4f5266-b17d-4e3d-bf3a-0902572aecd1?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Thinking Methodology Channel,Skillsoft,https://www.skillsoft.com/channel/design-thinking-methodology-fd3a4369-61cc-45d3-8960-d5b20427e489?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficult Conversations Channel,Skillsoft,https://www.skillsoft.com/channel/difficult-conversations-b12cb0d0-f91e-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Automation Channel,Skillsoft,https://www.skillsoft.com/channel/digital-automation-11d61870-dc1f-11e7-9fe8-1b7f5fcc733d?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovering Your Strength Channel,Skillsoft,https://www.skillsoft.com/channel/discovering-your-strengths-f6bdb290-f917-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driving Performance Channel,Skillsoft,https://www.skillsoft.com/channel/driving-performance-c37d3bc0-e716-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Productivity Channel,Skillsoft,https://www.skillsoft.com/channel/email-productivity-ce97aa80-f91e-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Retention Channel,Skillsoft,https://www.skillsoft.com/channel/employee-retention-b23cc9f0-1ebd-11e7-9edb-2f930c3c48e6?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empowering Employees Channel,Skillsoft,https://www.skillsoft.com/channel/empowering-employees-7b43dd00-205a-11e7-a06b-196ddb80a7e9?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essential Customer Service Skills Channel,Skillsoft,https://www.skillsoft.com/channel/essential-customer-service-skills-2ff8cb90-f921-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishing a Positive Work Culture Channel,Skillsoft,https://www.skillsoft.com/channel/establishing-a-positive-work-culture-46accd20-e718-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethics, Integrity & Trust Channel",Skillsoft,https://www.skillsoft.com/channel/ethics-integrity-trust-19e04bc0-f918-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance Essentials Channel,Skillsoft,https://www.skillsoft.com/channel/finance-essentials-b17e6fc0-f91d-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
