job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",11 Professional Certificate in Coding (Full Time) (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding-full-time/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",11 Professional Certificate in Coding (Full Time) (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding-full-time/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",11 Professional Certificate in Coding (Full Time) (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding-full-time/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",12 Professional Certificate in Coding: Full Stack Development With MERN (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",12 Professional Certificate in Coding: Full Stack Development With MERN (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",12 Professional Certificate in Coding: Full Stack Development With MERN (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",12 Professional Certificate in Coding: Full Stack Development With MERN (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",13 Professional Certificate in Coding: Women's Cohort (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding-womens-cohort/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",13 Professional Certificate in Coding: Women's Cohort (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding-womens-cohort/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",13 Professional Certificate in Coding: Women's Cohort (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding-womens-cohort/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",13 Professional Certificate in Coding: Women's Cohort (with MIT xPRO)%%%Emeritus%%%Level 4 - Advanced|||https://executive-ed.xpro.mit.edu/professional-certificate-coding-womens-cohort/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,14 Professional Certificate in Cybersecurity (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/professional-certificate-cybersecurity/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,14 Professional Certificate in Cybersecurity (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/professional-certificate-cybersecurity/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,14 Professional Certificate in Cybersecurity (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/professional-certificate-cybersecurity/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,14 Professional Certificate in Cybersecurity (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/professional-certificate-cybersecurity/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,15 Web Development with JavaScript (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/web-development-javascript/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,15 Web Development with JavaScript (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/web-development-javascript/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,15 Web Development with JavaScript (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/web-development-javascript/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,15 Web Development with JavaScript (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/web-development-javascript/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,16 Digital Strategies for Business: Leading the Next-Generation Enterprise (with Columbia Business School Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://online1.gsb.columbia.edu/digital-strategies/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,16 Digital Strategies for Business: Leading the Next-Generation Enterprise (with Columbia Business School Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://online1.gsb.columbia.edu/digital-strategies/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,16 Digital Strategies for Business: Leading the Next-Generation Enterprise (with Columbia Business School Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://online1.gsb.columbia.edu/digital-strategies/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,16 Digital Strategies for Business: Leading the Next-Generation Enterprise (with Columbia Business School Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://online1.gsb.columbia.edu/digital-strategies/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,17 Python for Managers (Online)  (with Columbia Business School Executive Education)%%%Emeritus%%%Level 2 - Basic|||https://online1.gsb.columbia.edu/columbia/python-for-managers/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,17 Python for Managers (Online)  (with Columbia Business School Executive Education)%%%Emeritus%%%Level 2 - Basic|||https://online1.gsb.columbia.edu/columbia/python-for-managers/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,17 Python for Managers (Online)  (with Columbia Business School Executive Education)%%%Emeritus%%%Level 2 - Basic|||https://online1.gsb.columbia.edu/columbia/python-for-managers/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,17 Python for Managers (Online)  (with Columbia Business School Executive Education)%%%Emeritus%%%Level 2 - Basic|||https://online1.gsb.columbia.edu/columbia/python-for-managers/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,18 Data Science: Bridging Principles and Practice (with UC Berkeley Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://em-executive.berkeley.edu/data-science/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,18 Data Science: Bridging Principles and Practice (with UC Berkeley Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://em-executive.berkeley.edu/data-science/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,18 Data Science: Bridging Principles and Practice (with UC Berkeley Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://em-executive.berkeley.edu/data-science/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,18 Data Science: Bridging Principles and Practice (with UC Berkeley Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://em-executive.berkeley.edu/data-science/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?","19 Future of Technology: Trends, Strategies, and Innovation Opportunities (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/future-technology/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~"
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?","19 Future of Technology: Trends, Strategies, and Innovation Opportunities (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/future-technology/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~"
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?","19 Future of Technology: Trends, Strategies, and Innovation Opportunities (with UC Berkeley Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://em-executive.berkeley.edu/future-technology/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~"
