job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0511 Auditing,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                   ",Level 5 -Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,3 Digital Transformation: Platform Strategies for Success (with MIT Sloan Executive Education)%%%Emeritus%%%Level 5 -Expert|||https://executive-ed.mit.edu/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                   ",Level 5 -Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,3 Digital Transformation: Platform Strategies for Success (with MIT Sloan Executive Education)%%%Emeritus%%%Level 5 -Expert|||https://executive-ed.mit.edu/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                 ",Level 5-Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,4 Digital Transformation Playbook: Leverage Technology to Innovate Your Business (with Stanford Graduate School of Business%%%Emeritus%%%Level 5-Expert|||https://em-execed.stanford.edu/digital-transformation-playbook/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                 ",Level 5-Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,4 Digital Transformation Playbook: Leverage Technology to Innovate Your Business (with Stanford Graduate School of Business%%%Emeritus%%%Level 5-Expert|||https://em-execed.stanford.edu/digital-transformation-playbook/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                 ",Level 5-Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,4 Digital Transformation Playbook: Leverage Technology to Innovate Your Business (with Stanford Graduate School of Business%%%Emeritus%%%Level 5-Expert|||https://em-execed.stanford.edu/digital-transformation-playbook/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                 ",Level 5-Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,4 Digital Transformation Playbook: Leverage Technology to Innovate Your Business (with Stanford Graduate School of Business%%%Emeritus%%%Level 5-Expert|||https://em-execed.stanford.edu/digital-transformation-playbook/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                 ",Level 5-Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,4 Digital Transformation Playbook: Leverage Technology to Innovate Your Business (with Stanford Graduate School of Business%%%Emeritus%%%Level 5-Expert|||https://em-execed.stanford.edu/digital-transformation-playbook/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                 ",Level 5-Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,4 Digital Transformation Playbook: Leverage Technology to Innovate Your Business (with Stanford Graduate School of Business%%%Emeritus%%%Level 5-Expert|||https://em-execed.stanford.edu/digital-transformation-playbook/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                 ",Level 5-Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,4 Digital Transformation Playbook: Leverage Technology to Innovate Your Business (with Stanford Graduate School of Business%%%Emeritus%%%Level 5-Expert|||https://em-execed.stanford.edu/digital-transformation-playbook/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Senior,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                 ",Level 5-Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,4 Digital Transformation Playbook: Leverage Technology to Innovate Your Business (with Stanford Graduate School of Business%%%Emeritus%%%Level 5-Expert|||https://em-execed.stanford.edu/digital-transformation-playbook/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
